episode: 500, epsilon: 0.9700000000000255, average steps: 5.424, maximum length: 7, average length: 4.222, average reward: 0.14, average loss: 0.5673328243670099
episode: 22500, epsilon: 0.32500000000057394, average steps: 5.28, maximum length: 6, average length: 4.12, average reward: -0.39, average loss: 0.3060922985301783
episode: 22600, epsilon: 0.3220000000005765, average steps: 5.99, maximum length: 6, average length: 4.21, average reward: 0.08, average loss: 0.3126601487530694
episode: 22700, epsilon: 0.31900000000057904, average steps: 5.69, maximum length: 7, average length: 4.24, average reward: 0.25, average loss: 0.30850110183247736
episode: 22800, epsilon: 0.3160000000005816, average steps: 5.15, maximum length: 6, average length: 4.16, average reward: -0.19, average loss: 0.31306691126683467
episode: 22900, epsilon: 0.31300000000058414, average steps: 5.47, maximum length: 7, average length: 4.25, average reward: 0.31, average loss: 0.3138383736136622
episode: 23000, epsilon: 0.3100000000005867, average steps: 5.52, maximum length: 6, average length: 4.18, average reward: -0.07, average loss: 0.3026703037621569
episode: 23100, epsilon: 0.30700000000058925, average steps: 5.34, maximum length: 8, average length: 4.21, average reward: 0.13, average loss: 0.31192921004082463
episode: 23200, epsilon: 0.3040000000005918, average steps: 5.45, maximum length: 7, average length: 4.25, average reward: 0.31, average loss: 0.3105273420676811
episode: 23300, epsilon: 0.30100000000059435, average steps: 5.09, maximum length: 6, average length: 4.22, average reward: 0.17, average loss: 0.3135517434155383
episode: 23400, epsilon: 0.2980000000005969, average steps: 4.58, maximum length: 6, average length: 4.16, average reward: -0.18, average loss: 0.30927033091015144
episode: 23500, epsilon: 0.29500000000059945, average steps: 5.47, maximum length: 6, average length: 4.16, average reward: -0.19, average loss: 0.31631781618029614
episode: 23600, epsilon: 0.292000000000602, average steps: 5.82, maximum length: 8, average length: 4.27, average reward: 0.44, average loss: 0.29997828800790644
episode: 23700, epsilon: 0.28900000000060455, average steps: 4.93, maximum length: 6, average length: 4.27, average reward: 0.38, average loss: 0.31638352849021345
episode: 23800, epsilon: 0.2860000000006071, average steps: 5.94, maximum length: 6, average length: 4.23, average reward: 0.21, average loss: 0.3237834581383624
episode: 23900, epsilon: 0.28300000000060965, average steps: 5.38, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.3093023517511123
episode: 24000, epsilon: 0.2800000000006122, average steps: 5.25, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.31546055706908754
episode: 24100, epsilon: 0.27700000000061475, average steps: 4.98, maximum length: 6, average length: 4.22, average reward: 0.14, average loss: 0.3050098792726305
episode: 24200, epsilon: 0.2740000000006173, average steps: 5.45, maximum length: 6, average length: 4.22, average reward: 0.11, average loss: 0.30565969425424055
episode: 24300, epsilon: 0.27100000000061986, average steps: 5.41, maximum length: 7, average length: 4.25, average reward: 0.3, average loss: 0.3364769371717779
episode: 24400, epsilon: 0.2680000000006224, average steps: 4.93, maximum length: 6, average length: 4.14, average reward: -0.28, average loss: 0.3125722391188798
episode: 24500, epsilon: 0.26500000000062496, average steps: 5.34, maximum length: 6, average length: 4.18, average reward: -0.09, average loss: 0.30826174331384654
episode: 24600, epsilon: 0.2620000000006275, average steps: 5.1, maximum length: 6, average length: 4.15, average reward: -0.24, average loss: 0.3167395907433649
episode: 24700, epsilon: 0.25900000000063006, average steps: 5.48, maximum length: 5, average length: 4.22, average reward: 0.1, average loss: 0.3229053117765279
episode: 24800, epsilon: 0.2560000000006326, average steps: 5.02, maximum length: 6, average length: 4.14, average reward: -0.29, average loss: 0.3232995437100259
episode: 24900, epsilon: 0.25300000000063516, average steps: 5.06, maximum length: 5, average length: 4.13, average reward: -0.35, average loss: 0.3260514807984565
episode: 25000, epsilon: 0.2500000000006377, average steps: 5.68, maximum length: 6, average length: 4.19, average reward: -0.04, average loss: 0.3112597532190962
episode: 25100, epsilon: 0.2470000000006375, average steps: 4.82, maximum length: 6, average length: 4.13, average reward: -0.34, average loss: 0.33327679807544763
episode: 25200, epsilon: 0.24400000000063726, average steps: 5.29, maximum length: 7, average length: 4.24, average reward: 0.25, average loss: 0.3114240785951909
episode: 25300, epsilon: 0.24100000000063704, average steps: 4.93, maximum length: 7, average length: 4.22, average reward: 0.16, average loss: 0.3259729036129952
episode: 25400, epsilon: 0.2380000000006368, average steps: 5.74, maximum length: 7, average length: 4.22, average reward: 0.15, average loss: 0.3177107845458776
episode: 25500, epsilon: 0.2350000000006366, average steps: 5.54, maximum length: 7, average length: 4.22, average reward: 0.15, average loss: 0.3212783561347111
episode: 25600, epsilon: 0.23200000000063636, average steps: 5.37, maximum length: 6, average length: 4.18, average reward: -0.05, average loss: 0.30533434822389194
episode: 25700, epsilon: 0.22900000000063614, average steps: 5.05, maximum length: 6, average length: 4.14, average reward: -0.29, average loss: 0.31516991324487487
episode: 25800, epsilon: 0.22600000000063591, average steps: 5.04, maximum length: 7, average length: 4.17, average reward: -0.09, average loss: 0.3151906438025753
episode: 25900, epsilon: 0.2230000000006357, average steps: 5.39, maximum length: 6, average length: 4.21, average reward: 0.08, average loss: 0.3161620323484527
episode: 26000, epsilon: 0.22000000000063547, average steps: 6.13, maximum length: 7, average length: 4.17, average reward: -0.11, average loss: 0.3170280859897311
episode: 26100, epsilon: 0.21700000000063524, average steps: 5.08, maximum length: 6, average length: 4.14, average reward: -0.28, average loss: 0.3262950909448899
episode: 26200, epsilon: 0.21400000000063502, average steps: 5.47, maximum length: 7, average length: 4.21, average reward: 0.09, average loss: 0.31614830977341757
episode: 26300, epsilon: 0.2110000000006348, average steps: 4.8, maximum length: 6, average length: 4.23, average reward: 0.16, average loss: 0.3075087010125571
episode: 26400, epsilon: 0.20800000000063457, average steps: 5.69, maximum length: 6, average length: 4.21, average reward: 0.06, average loss: 0.3202642460247295
episode: 26500, epsilon: 0.20500000000063434, average steps: 4.74, maximum length: 5, average length: 4.14, average reward: -0.3, average loss: 0.3145768066149125
episode: 26600, epsilon: 0.20200000000063412, average steps: 5.72, maximum length: 7, average length: 4.21, average reward: 0.09, average loss: 0.3109491106748159
episode: 26700, epsilon: 0.1990000000006339, average steps: 5.22, maximum length: 7, average length: 4.25, average reward: 0.32, average loss: 0.31894917154073427
episode: 26800, epsilon: 0.19600000000063367, average steps: 5.46, maximum length: 6, average length: 4.13, average reward: -0.33, average loss: 0.3122492471530667
episode: 26900, epsilon: 0.19300000000063344, average steps: 4.73, maximum length: 6, average length: 4.19, average reward: -0.02, average loss: 0.31058241355961075
episode: 27000, epsilon: 0.19000000000063322, average steps: 4.35, maximum length: 6, average length: 4.11, average reward: -0.44, average loss: 0.30102916373435545
episode: 27100, epsilon: 0.187000000000633, average steps: 5.4, maximum length: 6, average length: 4.22, average reward: 0.11, average loss: 0.3066979114382236
episode: 27200, epsilon: 0.18400000000063277, average steps: 5.28, maximum length: 8, average length: 4.21, average reward: 0.14, average loss: 0.3239780705185405
episode: 27300, epsilon: 0.18100000000063254, average steps: 5.12, maximum length: 6, average length: 4.12, average reward: -0.39, average loss: 0.30299206940774326
episode: 27400, epsilon: 0.17800000000063232, average steps: 5.68, maximum length: 7, average length: 4.21, average reward: 0.08, average loss: 0.3250491532793488
episode: 27500, epsilon: 0.1750000000006321, average steps: 5.04, maximum length: 6, average length: 4.21, average reward: 0.06, average loss: 0.3126429618156787
episode: 27600, epsilon: 0.17200000000063187, average steps: 5.32, maximum length: 6, average length: 4.19, average reward: -0.04, average loss: 0.3214291784068446
episode: 27700, epsilon: 0.16900000000063164, average steps: 6.03, maximum length: 7, average length: 4.26, average reward: 0.35, average loss: 0.32963595699148507
episode: 27800, epsilon: 0.16600000000063142, average steps: 5.8, maximum length: 7, average length: 4.26, average reward: 0.36, average loss: 0.31217939777162146
episode: 27900, epsilon: 0.1630000000006312, average steps: 5.93, maximum length: 7, average length: 4.2, average reward: 0.06, average loss: 0.32163893837223534
episode: 28000, epsilon: 0.16000000000063097, average steps: 5.19, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.3332366715396193
episode: 28100, epsilon: 0.15700000000063075, average steps: 5.43, maximum length: 6, average length: 4.21, average reward: 0.09, average loss: 0.30172585472415786
episode: 28200, epsilon: 0.15400000000063052, average steps: 5.4, maximum length: 6, average length: 4.2, average reward: 0.03, average loss: 0.3094823185506256
episode: 28300, epsilon: 0.1510000000006303, average steps: 5.29, maximum length: 6, average length: 4.13, average reward: -0.34, average loss: 0.30753007662614024
episode: 28400, epsilon: 0.14800000000063007, average steps: 5.38, maximum length: 7, average length: 4.18, average reward: -0.06, average loss: 0.3009286275441353
episode: 28500, epsilon: 0.14500000000062985, average steps: 5.74, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.32963452476843497
episode: 28600, epsilon: 0.14200000000062962, average steps: 5.37, maximum length: 7, average length: 4.2, average reward: 0.05, average loss: 0.32991578539542143
episode: 28700, epsilon: 0.1390000000006294, average steps: 5.08, maximum length: 6, average length: 4.15, average reward: -0.22, average loss: 0.32224849267803385
episode: 28800, epsilon: 0.13600000000062917, average steps: 4.95, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.3239122892844369
episode: 28900, epsilon: 0.13300000000062895, average steps: 5.71, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.3034184122474704
episode: 29000, epsilon: 0.13000000000062872, average steps: 5.12, maximum length: 6, average length: 4.18, average reward: -0.07, average loss: 0.3250770686330924
episode: 29100, epsilon: 0.1270000000006285, average steps: 4.94, maximum length: 6, average length: 4.16, average reward: -0.18, average loss: 0.3254344440647475
episode: 29200, epsilon: 0.12400000000062827, average steps: 4.79, maximum length: 6, average length: 4.16, average reward: -0.17, average loss: 0.32468858622356145
episode: 29300, epsilon: 0.12100000000062805, average steps: 5.53, maximum length: 6, average length: 4.15, average reward: -0.24, average loss: 0.3127410841445016
episode: 29400, epsilon: 0.11800000000062782, average steps: 5.17, maximum length: 5, average length: 4.15, average reward: -0.25, average loss: 0.3060571538596274
episode: 29500, epsilon: 0.1150000000006276, average steps: 5.29, maximum length: 5, average length: 4.08, average reward: -0.6, average loss: 0.3249898683821667
episode: 29600, epsilon: 0.11200000000062738, average steps: 5.97, maximum length: 6, average length: 4.16, average reward: -0.19, average loss: 0.3006656335999337
episode: 29700, epsilon: 0.10900000000062715, average steps: 5.61, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.31883135570894283
episode: 29800, epsilon: 0.10600000000062693, average steps: 6.08, maximum length: 7, average length: 4.22, average reward: 0.17, average loss: 0.30797699304480375
episode: 29900, epsilon: 0.1030000000006267, average steps: 5.63, maximum length: 7, average length: 4.16, average reward: -0.15, average loss: 0.328915377850498
episode: 30000, epsilon: 0.10000000000062648, average steps: 5.55, maximum length: 6, average length: 4.27, average reward: 0.38, average loss: 0.3199076261553273
episode: 30100, epsilon: 0.1, average steps: 4.95, maximum length: 6, average length: 4.2, average reward: 0.01, average loss: 0.3133867025617898
episode: 30200, epsilon: 0.1, average steps: 5.72, maximum length: 6, average length: 4.29, average reward: 0.48, average loss: 0.32028306713476973
episode: 30300, epsilon: 0.1, average steps: 5.4, maximum length: 6, average length: 4.26, average reward: 0.34, average loss: 0.31895053733296663
episode: 30400, epsilon: 0.1, average steps: 5.39, maximum length: 6, average length: 4.23, average reward: 0.18, average loss: 0.3317701674874345
episode: 30500, epsilon: 0.1, average steps: 5.84, maximum length: 7, average length: 4.22, average reward: 0.14, average loss: 0.3235969173748494
episode: 30600, epsilon: 0.1, average steps: 4.84, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.3140807002200745
episode: 30700, epsilon: 0.1, average steps: 5.46, maximum length: 6, average length: 4.23, average reward: 0.19, average loss: 0.32831140167225437
episode: 30800, epsilon: 0.1, average steps: 5.3, maximum length: 5, average length: 4.11, average reward: -0.45, average loss: 0.31807512887468
episode: 30900, epsilon: 0.1, average steps: 5.25, maximum length: 6, average length: 4.2, average reward: 0.03, average loss: 0.33085584673066654
episode: 31000, epsilon: 0.1, average steps: 5.75, maximum length: 6, average length: 4.24, average reward: 0.22, average loss: 0.32406473891684945
episode: 31100, epsilon: 0.1, average steps: 5.01, maximum length: 7, average length: 4.16, average reward: -0.17, average loss: 0.32100888160530233
episode: 31200, epsilon: 0.1, average steps: 5.75, maximum length: 7, average length: 4.21, average reward: 0.11, average loss: 0.3155605238258874
episode: 31300, epsilon: 0.1, average steps: 4.78, maximum length: 5, average length: 4.17, average reward: -0.15, average loss: 0.3053555420466947
episode: 31400, epsilon: 0.1, average steps: 4.97, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.3190579067627377
episode: 31500, epsilon: 0.1, average steps: 5.82, maximum length: 6, average length: 4.2, average reward: 0.04, average loss: 0.3167493364285839
episode: 31600, epsilon: 0.1, average steps: 5.9, maximum length: 6, average length: 4.25, average reward: 0.28, average loss: 0.34591214987790947
episode: 31700, epsilon: 0.1, average steps: 4.75, maximum length: 5, average length: 4.09, average reward: -0.55, average loss: 0.33045488387896943
episode: 31800, epsilon: 0.1, average steps: 5.17, maximum length: 6, average length: 4.17, average reward: -0.13, average loss: 0.30806264939500067
episode: 31900, epsilon: 0.1, average steps: 5.42, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.3197713333962229
episode: 32000, epsilon: 0.1, average steps: 5.7, maximum length: 6, average length: 4.17, average reward: -0.12, average loss: 0.31214796469171313
episode: 32100, epsilon: 0.1, average steps: 5.33, maximum length: 7, average length: 4.16, average reward: -0.17, average loss: 0.32559473234783753
episode: 32200, epsilon: 0.1, average steps: 5.87, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.32588150033909025
episode: 32300, epsilon: 0.1, average steps: 5.63, maximum length: 6, average length: 4.29, average reward: 0.48, average loss: 0.31317856195343485
episode: 32400, epsilon: 0.1, average steps: 4.9, maximum length: 6, average length: 4.23, average reward: 0.17, average loss: 0.3403886432195429
episode: 32500, epsilon: 0.1, average steps: 5.3, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.3198438731120542
episode: 32600, epsilon: 0.1, average steps: 5.81, maximum length: 6, average length: 4.25, average reward: 0.28, average loss: 0.32462207855625036
episode: 32700, epsilon: 0.1, average steps: 5.41, maximum length: 5, average length: 4.16, average reward: -0.2, average loss: 0.328800096051468
episode: 32800, epsilon: 0.1, average steps: 5.17, maximum length: 6, average length: 4.21, average reward: 0.07, average loss: 0.31631306478503685
episode: 32900, epsilon: 0.1, average steps: 5.52, maximum length: 7, average length: 4.22, average reward: 0.15, average loss: 0.32143885915340853
episode: 33000, epsilon: 0.1, average steps: 5.35, maximum length: 6, average length: 4.3, average reward: 0.53, average loss: 0.322838075945765
episode: 33100, epsilon: 0.1, average steps: 4.84, maximum length: 6, average length: 4.13, average reward: -0.34, average loss: 0.31397158117719043
episode: 33200, epsilon: 0.1, average steps: 4.97, maximum length: 6, average length: 4.22, average reward: 0.13, average loss: 0.3424326155615985
episode: 33300, epsilon: 0.1, average steps: 5.7, maximum length: 6, average length: 4.15, average reward: -0.24, average loss: 0.32183150797848115
episode: 33400, epsilon: 0.1, average steps: 5.17, maximum length: 6, average length: 4.14, average reward: -0.28, average loss: 0.32561323839712275
episode: 33500, epsilon: 0.1, average steps: 5.45, maximum length: 6, average length: 4.24, average reward: 0.21, average loss: 0.3316782721723422
episode: 33600, epsilon: 0.1, average steps: 5.2, maximum length: 6, average length: 4.23, average reward: 0.18, average loss: 0.32397604837227706
episode: 33700, epsilon: 0.1, average steps: 5.01, maximum length: 6, average length: 4.17, average reward: -0.12, average loss: 0.331016115742655
episode: 33800, epsilon: 0.1, average steps: 5.0, maximum length: 6, average length: 4.16, average reward: -0.19, average loss: 0.3346028848391725
episode: 33900, epsilon: 0.1, average steps: 5.19, maximum length: 5, average length: 4.16, average reward: -0.2, average loss: 0.32078119913695763
episode: 34000, epsilon: 0.1, average steps: 5.36, maximum length: 6, average length: 4.2, average reward: 0.03, average loss: 0.33062616929931604
episode: 34100, epsilon: 0.1, average steps: 5.01, maximum length: 6, average length: 4.18, average reward: -0.09, average loss: 0.3023464113085972
episode: 34200, epsilon: 0.1, average steps: 5.59, maximum length: 6, average length: 4.16, average reward: -0.19, average loss: 0.314248535156835
episode: 34300, epsilon: 0.1, average steps: 5.07, maximum length: 6, average length: 4.22, average reward: 0.14, average loss: 0.32172793472067823
episode: 34400, epsilon: 0.1, average steps: 4.8, maximum length: 6, average length: 4.13, average reward: -0.33, average loss: 0.3202489212254553
episode: 34500, epsilon: 0.1, average steps: 4.88, maximum length: 7, average length: 4.24, average reward: 0.26, average loss: 0.3066865039982896
episode: 34600, epsilon: 0.1, average steps: 4.7, maximum length: 5, average length: 4.09, average reward: -0.55, average loss: 0.30590200172036736
episode: 34700, epsilon: 0.1, average steps: 5.53, maximum length: 8, average length: 4.17, average reward: -0.08, average loss: 0.3227233200684824
episode: 34800, epsilon: 0.1, average steps: 5.15, maximum length: 5, average length: 4.13, average reward: -0.35, average loss: 0.3040019183430806
episode: 34900, epsilon: 0.1, average steps: 5.56, maximum length: 6, average length: 4.19, average reward: -0.04, average loss: 0.3109403498646702
episode: 35000, epsilon: 0.1, average steps: 5.51, maximum length: 7, average length: 4.25, average reward: 0.31, average loss: 0.3211999735876238
episode: 35100, epsilon: 0.1, average steps: 4.54, maximum length: 6, average length: 4.12, average reward: -0.39, average loss: 0.33249316021259406
episode: 35200, epsilon: 0.1, average steps: 5.41, maximum length: 5, average length: 4.13, average reward: -0.35, average loss: 0.3026943247135858
episode: 35300, epsilon: 0.1, average steps: 5.27, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.32617295271082414
episode: 35400, epsilon: 0.1, average steps: 5.98, maximum length: 5, average length: 4.2, average reward: 0.0, average loss: 0.31049760429833323
episode: 35500, epsilon: 0.1, average steps: 5.06, maximum length: 6, average length: 4.25, average reward: 0.29, average loss: 0.3174160536212224
episode: 35600, epsilon: 0.1, average steps: 5.22, maximum length: 7, average length: 4.15, average reward: -0.22, average loss: 0.32212587860083663
episode: 35700, epsilon: 0.1, average steps: 5.96, maximum length: 7, average length: 4.25, average reward: 0.34, average loss: 0.32712119805820605
episode: 35800, epsilon: 0.1, average steps: 4.69, maximum length: 9, average length: 4.26, average reward: 0.44, average loss: 0.33095875623862636
episode: 35900, epsilon: 0.1, average steps: 4.86, maximum length: 6, average length: 4.17, average reward: -0.14, average loss: 0.32440029931435505
episode: 36000, epsilon: 0.1, average steps: 5.46, maximum length: 6, average length: 4.28, average reward: 0.45, average loss: 0.33043311767082556
episode: 36100, epsilon: 0.1, average steps: 5.46, maximum length: 7, average length: 4.22, average reward: 0.14, average loss: 0.32678783133812495
episode: 36200, epsilon: 0.1, average steps: 6.17, maximum length: 7, average length: 4.28, average reward: 0.51, average loss: 0.3087890501284051
episode: 36300, epsilon: 0.1, average steps: 5.89, maximum length: 6, average length: 4.23, average reward: 0.21, average loss: 0.3136149556789312
episode: 36400, epsilon: 0.1, average steps: 5.93, maximum length: 6, average length: 4.1, average reward: -0.49, average loss: 0.3234000837967012
episode: 36500, epsilon: 0.1, average steps: 5.93, maximum length: 7, average length: 4.31, average reward: 0.62, average loss: 0.3075645250094492
episode: 36600, epsilon: 0.1, average steps: 4.94, maximum length: 5, average length: 4.12, average reward: -0.4, average loss: 0.3204028441747502
episode: 36700, epsilon: 0.1, average steps: 5.72, maximum length: 6, average length: 4.18, average reward: -0.08, average loss: 0.32837709503145707
episode: 36800, epsilon: 0.1, average steps: 4.82, maximum length: 5, average length: 4.1, average reward: -0.5, average loss: 0.3192608323814856
episode: 36900, epsilon: 0.1, average steps: 4.94, maximum length: 6, average length: 4.17, average reward: -0.13, average loss: 0.33718417164563724
episode: 37000, epsilon: 0.1, average steps: 4.23, maximum length: 6, average length: 4.23, average reward: 0.19, average loss: 0.339327662522588
episode: 37100, epsilon: 0.1, average steps: 6.12, maximum length: 6, average length: 4.22, average reward: 0.13, average loss: 0.3345697142900712
episode: 37200, epsilon: 0.1, average steps: 5.15, maximum length: 6, average length: 4.16, average reward: -0.18, average loss: 0.31371618677148944
episode: 37300, epsilon: 0.1, average steps: 5.61, maximum length: 6, average length: 4.24, average reward: 0.22, average loss: 0.3204365535290538
episode: 37400, epsilon: 0.1, average steps: 6.0, maximum length: 7, average length: 4.21, average reward: 0.12, average loss: 0.32496644311921047
episode: 37500, epsilon: 0.1, average steps: 5.39, maximum length: 6, average length: 4.21, average reward: 0.06, average loss: 0.30726792230543215
episode: 37600, epsilon: 0.1, average steps: 5.67, maximum length: 6, average length: 4.24, average reward: 0.22, average loss: 0.317379840646745
episode: 37700, epsilon: 0.1, average steps: 5.52, maximum length: 6, average length: 4.15, average reward: -0.23, average loss: 0.30777381886803373
episode: 37800, epsilon: 0.1, average steps: 5.14, maximum length: 6, average length: 4.23, average reward: 0.17, average loss: 0.3344975329219718
episode: 37900, epsilon: 0.1, average steps: 5.51, maximum length: 7, average length: 4.21, average reward: 0.11, average loss: 0.3357855760909834
episode: 38000, epsilon: 0.1, average steps: 5.04, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.3136004096327486
episode: 38100, epsilon: 0.1, average steps: 5.17, maximum length: 8, average length: 4.19, average reward: 0.01, average loss: 0.32638821802693396
episode: 38200, epsilon: 0.1, average steps: 4.57, maximum length: 6, average length: 4.08, average reward: -0.59, average loss: 0.31976603566814704
episode: 38300, epsilon: 0.1, average steps: 5.37, maximum length: 6, average length: 4.18, average reward: -0.09, average loss: 0.3252681090770081
episode: 38400, epsilon: 0.1, average steps: 5.01, maximum length: 6, average length: 4.14, average reward: -0.29, average loss: 0.32697594516067474
episode: 38500, epsilon: 0.1, average steps: 5.25, maximum length: 7, average length: 4.23, average reward: 0.2, average loss: 0.3196544347315544
episode: 38600, epsilon: 0.1, average steps: 5.34, maximum length: 6, average length: 4.2, average reward: 0.03, average loss: 0.3317527207976294
episode: 38700, epsilon: 0.1, average steps: 5.46, maximum length: 6, average length: 4.23, average reward: 0.17, average loss: 0.32947198611405576
episode: 38800, epsilon: 0.1, average steps: 5.17, maximum length: 5, average length: 4.15, average reward: -0.25, average loss: 0.3217198035034604
episode: 38900, epsilon: 0.1, average steps: 5.66, maximum length: 6, average length: 4.27, average reward: 0.39, average loss: 0.33498461060247947
episode: 39000, epsilon: 0.1, average steps: 5.46, maximum length: 7, average length: 4.15, average reward: -0.22, average loss: 0.3359151162600068
episode: 39100, epsilon: 0.1, average steps: 5.59, maximum length: 7, average length: 4.25, average reward: 0.32, average loss: 0.3087849984363134
episode: 39200, epsilon: 0.1, average steps: 5.05, maximum length: 7, average length: 4.23, average reward: 0.21, average loss: 0.32371220393685535
episode: 39300, epsilon: 0.1, average steps: 6.04, maximum length: 6, average length: 4.19, average reward: -0.03, average loss: 0.3290897012864252
episode: 39400, epsilon: 0.1, average steps: 5.75, maximum length: 5, average length: 4.17, average reward: -0.15, average loss: 0.3317406166555631
episode: 39500, epsilon: 0.1, average steps: 5.92, maximum length: 6, average length: 4.17, average reward: -0.13, average loss: 0.32009125823215934
episode: 39600, epsilon: 0.1, average steps: 5.82, maximum length: 9, average length: 4.26, average reward: 0.44, average loss: 0.3324985780176782
episode: 39700, epsilon: 0.1, average steps: 6.21, maximum length: 6, average length: 4.2, average reward: 0.03, average loss: 0.3300314982899941
episode: 39800, epsilon: 0.1, average steps: 5.57, maximum length: 6, average length: 4.17, average reward: -0.13, average loss: 0.31490247773618263
episode: 39900, epsilon: 0.1, average steps: 5.0, maximum length: 7, average length: 4.18, average reward: -0.06, average loss: 0.31720705478597666
episode: 40000, epsilon: 0.1, average steps: 6.14, maximum length: 6, average length: 4.21, average reward: 0.08, average loss: 0.3327882603572323
episode: 40100, epsilon: 0.1, average steps: 5.34, maximum length: 7, average length: 4.2, average reward: 0.04, average loss: 0.3202236427707303
episode: 40200, epsilon: 0.1, average steps: 5.2, maximum length: 6, average length: 4.12, average reward: -0.38, average loss: 0.3177774065927434
episode: 40300, epsilon: 0.1, average steps: 5.69, maximum length: 6, average length: 4.23, average reward: 0.18, average loss: 0.32673683830453965
episode: 40400, epsilon: 0.1, average steps: 5.48, maximum length: 7, average length: 4.21, average reward: 0.12, average loss: 0.32045186274721693
episode: 40500, epsilon: 0.1, average steps: 5.18, maximum length: 6, average length: 4.15, average reward: -0.24, average loss: 0.33661279044024356
episode: 40600, epsilon: 0.1, average steps: 5.91, maximum length: 6, average length: 4.25, average reward: 0.28, average loss: 0.33216961666067124
episode: 40700, epsilon: 0.1, average steps: 5.78, maximum length: 7, average length: 4.24, average reward: 0.24, average loss: 0.32812786046859804
episode: 40800, epsilon: 0.1, average steps: 5.1, maximum length: 6, average length: 4.23, average reward: 0.17, average loss: 0.3197265352309164
episode: 40900, epsilon: 0.1, average steps: 5.16, maximum length: 6, average length: 4.16, average reward: -0.18, average loss: 0.3438809338477704
episode: 41000, epsilon: 0.1, average steps: 5.36, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.3392495669504162
episode: 41100, epsilon: 0.1, average steps: 5.76, maximum length: 6, average length: 4.12, average reward: -0.39, average loss: 0.31675133734633065
episode: 41200, epsilon: 0.1, average steps: 4.5, maximum length: 5, average length: 4.13, average reward: -0.35, average loss: 0.32104965989597584
episode: 41300, epsilon: 0.1, average steps: 5.31, maximum length: 7, average length: 4.16, average reward: -0.17, average loss: 0.3010145236633669
episode: 41400, epsilon: 0.1, average steps: 5.51, maximum length: 6, average length: 4.23, average reward: 0.21, average loss: 0.322296519713833
episode: 41500, epsilon: 0.1, average steps: 5.56, maximum length: 6, average length: 4.22, average reward: 0.14, average loss: 0.32653473327285376
episode: 41600, epsilon: 0.1, average steps: 5.23, maximum length: 5, average length: 4.11, average reward: -0.45, average loss: 0.3120414038320029
episode: 41700, epsilon: 0.1, average steps: 5.22, maximum length: 6, average length: 4.23, average reward: 0.17, average loss: 0.3339171466365536
episode: 41800, epsilon: 0.1, average steps: 5.27, maximum length: 7, average length: 4.15, average reward: -0.18, average loss: 0.3168370996266274
episode: 41900, epsilon: 0.1, average steps: 4.96, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.3235347488090787
episode: 42000, epsilon: 0.1, average steps: 5.59, maximum length: 6, average length: 4.14, average reward: -0.29, average loss: 0.33449460667772546
episode: 42100, epsilon: 0.1, average steps: 5.32, maximum length: 5, average length: 4.11, average reward: -0.45, average loss: 0.31299107381619934
episode: 42200, epsilon: 0.1, average steps: 5.11, maximum length: 5, average length: 4.11, average reward: -0.45, average loss: 0.3271177081724215
episode: 42300, epsilon: 0.1, average steps: 5.44, maximum length: 6, average length: 4.2, average reward: 0.02, average loss: 0.32539330073151473
episode: 42400, epsilon: 0.1, average steps: 5.07, maximum length: 7, average length: 4.27, average reward: 0.41, average loss: 0.3161526279179703
episode: 42500, epsilon: 0.1, average steps: 5.63, maximum length: 7, average length: 4.21, average reward: 0.09, average loss: 0.329965434424836
episode: 42600, epsilon: 0.1, average steps: 5.11, maximum length: 6, average length: 4.17, average reward: -0.12, average loss: 0.319960035429799
episode: 42700, epsilon: 0.1, average steps: 5.87, maximum length: 6, average length: 4.22, average reward: 0.14, average loss: 0.2951725478626366
episode: 42800, epsilon: 0.1, average steps: 5.04, maximum length: 7, average length: 4.21, average reward: 0.09, average loss: 0.3144868254154235
episode: 42900, epsilon: 0.1, average steps: 5.16, maximum length: 6, average length: 4.15, average reward: -0.24, average loss: 0.3239993693438052
episode: 43000, epsilon: 0.1, average steps: 5.47, maximum length: 6, average length: 4.22, average reward: 0.13, average loss: 0.30491540824247004
episode: 43100, epsilon: 0.1, average steps: 6.23, maximum length: 6, average length: 4.22, average reward: 0.12, average loss: 0.32471070230471477
episode: 43200, epsilon: 0.1, average steps: 5.85, maximum length: 6, average length: 4.22, average reward: 0.13, average loss: 0.3200555336748202
